Nom;prenom;"date Naissance";"lieu naissance";sexe;adresse;"code postal";ville;telephone;"ecole precedente";"niveau precedent";"date entrer";"nom pere";"fonction pere";"telephone pere";"nom mere";"fonction mere";"telephone mere";"adresse parent"
Test;test;07/02/1991;testl;Homme;"ruee test";5100;maha;123333;;3;15/04/2017;ach;tayer;5156;ttt;tttt;165416;dfqsdsq
Test2;test;08/02/1908;testl;femme;"ruee test";5100;maha;123333;;3;15/04/2017;ach;tayer;5156;ttt;tttt;165416;dfqsdsq
Test3;test;08/02/1908;testl;femme;"ruee test";5100;maha;123333;;3;15/04/2017;ach;tayer;5156;ttt;tttt;165416;dfqsdsq
azer;test;08/02/1908;testl;femme;"ruee test";5100;maha;123333;;3;15/04/2017;ach;tayer;5156;ttt;tttt;165416;dfqsdsq
rrrrrrrrrrr;test;08/02/1908;testl;femme;"ruee test";5100;maha;123333;;3;15/04/2017;ach;tayer;5156;ttt;tttt;165416;dfqsdsq
aaaa;test;08/02/1908;testl;femme;"ruee test";5100;maha;123333;;3;15/04/2017;ach;tayer;5156;ttt;tttt;165416;dfqsdsq
cccc;test;08/02/1908;testl;femme;"ruee test";5100;maha;123333;;3;15/04/2017;ach;tayer;5156;ttt;tttt;165416;dfqsdsq
Test8;test;08/02/1908;testl;femme;"ruee test";5100;maha;123333;;3;15/04/2017;ach;tayer;5156;ttt;tttt;165416;dfqsdsq
Test13;test;08/02/1908;testl;femme;"ruee test";5100;maha;123333;;3;15/04/2017;ach;tayer;5156;ttt;tttt;165416;dfqsdsq
Test14;test;08/02/1908;testl;femme;"ruee test";5100;maha;123333;;3;15/04/2017;ach;tayer;5156;ttt;tttt;165416;dfqsdsq
Test12;test;08/02/1908;testl;femme;"ruee test";5100;maha;123333;;3;15/04/2017;ach;tayer;5156;ttt;tttt;165416;dfqsdsq
